Venue,Borough,Venue Category,Group,Venue Latitude,Venue Longitude,BoroughLocation
The Vaults,Lambeth,Event Space,Health and Sports,51.50063849943057,-0.11363983154296875,"[51.4607, -0.1163]"
Parliament Square,Westminster,Plaza,Other,51.500595,-0.126802,"[51.4973, -0.1372]"
The Edgar Wallace,Westminster,Pub,Going out,51.51258527863651,-0.11281911311490778,"[51.4973, -0.1372]"
Greensmiths,Lambeth,Food & Drink Shop,Groceries,51.500994602547856,-0.1124067731852665,"[51.4607, -0.1163]"
Good Vibes,Camden,Gym,Health and Sports,51.5150641324494,-0.1237409234782337,"[51.529, -0.1255]"
Top Secret Comedy,Camden,Comedy Club,Entertainment,51.5153842464309,-0.12320203003363296,"[51.529, -0.1255]"
Gaucho,Westminster,Argentinian Restaurant,Eating out,51.51406880816953,-0.11113110096782348,"[51.4973, -0.1372]"
St James's Park,Westminster,Park,Green spaces,51.50325316049429,-0.1329946517944336,"[51.4973, -0.1372]"
The Fleet Street Press,Westminster,Coffee Shop,Eating out,51.51371026031107,-0.11167758763191621,"[51.4973, -0.1372]"
Apex Temple Court Hotel,City of London,Hotel,Other,51.513738211581575,-0.10887801319023883,"[51.5155, -0.0922]"
Picturehouse Central,Westminster,Multiplex,Other,51.51069477131599,-0.13395564467364965,"[51.4973, -0.1372]"
Foyles,Westminster,Bookstore,Shopping,51.514158,-0.129729,"[51.4973, -0.1372]"
Forbidden Planet,Camden,Comic Shop,Shopping,51.515108362188464,-0.12713175126493229,"[51.529, -0.1255]"
Lincoln's Inn Fields,Camden,Park,Green spaces,51.51611390655047,-0.11655807495117188,"[51.529, -0.1255]"
Ronnie Scott's Jazz Club,Westminster,Jazz Club,Entertainment,51.51341645218146,-0.13164760951343052,"[51.4973, -0.1372]"
Prince Edward Theatre,Westminster,Theater,Entertainment,51.51371078019491,-0.1307827868388587,"[51.4973, -0.1372]"
The Black Penny,Camden,Coffee Shop,Eating out,51.51519097792153,-0.12154506230333152,"[51.529, -0.1255]"
The Craft Beer Co.,Camden,Beer Bar,Going out,51.51575827252237,-0.12619345122012288,"[51.529, -0.1255]"
OXO Tower,Lambeth,Building,Other,51.508411707584635,-0.10866374481985792,"[51.4607, -0.1163]"
Sir John Soane's Museum,Camden,History Museum,Entertainment,51.51683252722464,-0.1175400405817299,"[51.529, -0.1255]"
Rosewood London,Camden,Hotel,Other,51.51746842846652,-0.11781017238253777,"[51.529, -0.1255]"
Flat Iron,Westminster,Steakhouse,Eating out,51.515134,-0.129545,"[51.4973, -0.1372]"
Piccadilly Circus,Westminster,Plaza,Other,51.50996110016709,-0.1346522569656372,"[51.4973, -0.1372]"
Honest Burgers,Camden,Burger Joint,Eating out,51.51621441504332,-0.12023336218817349,"[51.529, -0.1255]"
The Hoxton Holborn,Camden,Hotel,Other,51.5172290818294,-0.1220018626277124,"[51.529, -0.1255]"
Scarfes Bar,Camden,Hotel Bar,Going out,51.51781314398572,-0.11818441766647803,"[51.529, -0.1255]"
Amorino,Westminster,Ice Cream Shop,Eating out,51.5128681494808,-0.13216098124942802,"[51.4973, -0.1372]"
Carpo Piccadilly,Westminster,Gourmet Shop,Shopping,51.50956385935709,-0.1355359951960031,"[51.4973, -0.1372]"
Soho House,Westminster,Lounge,Other,51.51396445911255,-0.1329109198775155,"[51.4973, -0.1372]"
Milroy's,Westminster,Liquor Store,Groceries,51.51478744978937,-0.1313610690458417,"[51.4973, -0.1372]"
Kanada-Ya,Camden,Ramen Restaurant,Eating out,51.515503,-0.127539,"[51.529, -0.1255]"
Drury 188-189,Camden,Café,Eating out,51.51606000719529,-0.12411071051324417,"[51.529, -0.1255]"
Seven Stars,Westminster,Pub,Going out,51.5149733305941,-0.11345140323730123,"[51.4973, -0.1372]"
java java,City of London,Coffee Shop,Eating out,51.514280947732644,-0.10795784699499111,"[51.5155, -0.0922]"
Origin Coffee,Southwark,Coffee Shop,Eating out,51.504326,-0.103555,"[51.5035, -0.0804]"
Waterstones,Westminster,Bookstore,Shopping,51.50925645082526,-0.13609369329961535,"[51.4973, -0.1372]"
Rosie & Joe,Westminster,Coffee Shop,Eating out,51.515531601195185,-0.1286823075453627,"[51.4973, -0.1372]"
Little Waitrose & Partners,Southwark,Grocery Store,Shopping,51.50733438217989,-0.10574364011063153,"[51.5035, -0.0804]"
Park Plaza London Waterloo,Lambeth,Hotel,Other,51.498241,-0.113548,"[51.4607, -0.1163]"
Pilpel,City of London,Falafel Restaurant,Eating out,51.51442009893583,-0.10722533661165626,"[51.5155, -0.0922]"
The Z Hotel City,Westminster,Hotel,Other,51.513941099756934,-0.11042312521837516,"[51.4973, -0.1372]"
Which Wich Superior Sandwiches,Camden,Sandwich Place,Eating out,51.516058738326,-0.12847354741913544,"[51.529, -0.1255]"
Abeno,Camden,Okonomiyaki Restaurant,Eating out,51.51744706211849,-0.1251682412880507,"[51.529, -0.1255]"
Mirror Room,Camden,Restaurant,Eating out,51.517444492054985,-0.11782356015108676,"[51.529, -0.1255]"
Press Coffee & Co.,Camden,Coffee Shop,Eating out,51.515798,-0.111963,"[51.529, -0.1255]"
Holborn Dining Room,Camden,English Restaurant,Eating out,51.517493,-0.117541,"[51.529, -0.1255]"
Olivier Theatre,Lambeth,Theater,Entertainment,51.507414387520534,-0.11439682940536929,"[51.4607, -0.1163]"
Queen Elizabeth Hall Roof Garden,Lambeth,Roof Deck,Other,51.50653735287463,-0.11654662677915184,"[51.4607, -0.1163]"
180 The Strand,Westminster,Art Gallery,Entertainment,51.512671386264635,-0.11500919299834307,"[51.4973, -0.1372]"
BFI Mediatheque,Lambeth,Indie Movie Theater,Entertainment,51.506518,-0.114916,"[51.4607, -0.1163]"
BFI Shop,Lambeth,Video Store,Shopping,51.50654164236433,-0.11477610405995915,"[51.4607, -0.1163]"
Aldwych Underground Station (Disused),Westminster,Historic Site,Other,51.512386025685814,-0.11585230508813124,"[51.4973, -0.1372]"
Clore Ballroom,Lambeth,Event Space,Health and Sports,51.50575459215722,-0.1167067419418268,"[51.4607, -0.1163]"
Inner Temple Garden,City of London,Garden,Green spaces,51.5125941002219,-0.11035478965541914,"[51.5155, -0.0922]"
GAIL's Bakery,Lambeth,Bakery,Groceries,51.50288543411381,-0.11634867428399269,"[51.4607, -0.1163]"
The Honourable Society of the Inner Temple,City of London,Building,Other,51.51274367625176,-0.10971960246473686,"[51.5155, -0.0922]"
Konditor & Cook Ltd,Lambeth,Cupcake Shop,Shopping,51.50429240982867,-0.11038668934429101,"[51.4607, -0.1163]"
British Museum,Camden,History Museum,Entertainment,51.51900874337275,-0.12643718771869317,"[51.529, -0.1255]"
Royal Mile Whiskies,Camden,Liquor Store,Groceries,51.51716169075045,-0.12709745658404187,"[51.529, -0.1255]"
London Review Bookshop,Camden,Bookstore,Shopping,51.51848537875849,-0.1243692539734231,"[51.529, -0.1255]"
Agent Provocateur,Westminster,Lingerie Store,Shopping,51.513978482394755,-0.134598273078281,"[51.4973, -0.1372]"
Pizza Pilgrims,Westminster,Pizza Place,Eating out,51.51490606630752,-0.13330955652147533,"[51.4973, -0.1372]"
Whole Foods Market,Westminster,Grocery Store,Shopping,51.51048750937573,-0.13590689229976402,"[51.4973, -0.1372]"
Hakkasan,Camden,Cantonese Restaurant,Eating out,51.51722297794206,-0.13083490819357613,"[51.529, -0.1255]"
Cass Art,Westminster,Arts & Crafts Store,Entertainment,51.51393580216873,-0.13521390569657823,"[51.4973, -0.1372]"
Waterstones,Camden,Bookstore,Shopping,51.51769936792159,-0.1313909375119785,"[51.529, -0.1255]"
The Egyptian Exhibition,Camden,Exhibit,Entertainment,51.51959890402129,-0.12789427026291375,"[51.529, -0.1255]"
Soho Square,Westminster,Park,Green spaces,51.5152860135492,-0.13220876455307007,"[51.4973, -0.1372]"
The Rosetta Stone,Camden,Exhibit,Entertainment,51.51930249302989,-0.12741642202692655,"[51.529, -0.1255]"
The London Gin Club,Westminster,Cocktail Bar,Going out,51.515631973206894,-0.13449047029108954,"[51.4973, -0.1372]"
Planet Organic,Camden,Organic Grocery,Groceries,51.51799113494899,-0.13175346151438702,"[51.529, -0.1255]"
The London Edition (The London EDITION),Westminster,Hotel,Other,51.5167621228894,-0.1360492052481277,"[51.4973, -0.1372]"
We Built This City,Westminster,Gift Shop,Shopping,51.51244482200528,-0.13806076988303054,"[51.4973, -0.1372]"
The Punch Room,Westminster,Cocktail Bar,Going out,51.51690505990691,-0.13615140149379504,"[51.4973, -0.1372]"
Ben's Cookies,Westminster,Bakery,Groceries,51.51592578036752,-0.1365487399829042,"[51.4973, -0.1372]"
Cloth House,Westminster,Fabric Shop,Shopping,51.51515079123586,-0.13622604287654724,"[51.4973, -0.1372]"
Circolo Popolare by Big Mamma,Westminster,Italian Restaurant,Eating out,51.51724,-0.133829,"[51.4973, -0.1372]"
BrewDog Soho,Westminster,Beer Bar,Going out,51.51506401548841,-0.13725131750106812,"[51.4973, -0.1372]"
Kingly Court,Westminster,Food Court,Eating out,51.51263165734176,-0.13876898482724873,"[51.4973, -0.1372]"
Carnaby Street,Westminster,Pedestrian Plaza,Other,51.513209538291676,-0.13889551162719724,"[51.4973, -0.1372]"
Mandrake Hotel,Westminster,Hotel,Other,51.51755873836138,-0.13534285047992864,"[51.4973, -0.1372]"
Tramp,Westminster,Nightclub,Going out,51.50833189329173,-0.13783554875328055,"[51.4973, -0.1372]"
M&S Foodhall,Camden,Grocery Store,Shopping,51.51976020577396,-0.13351895885256712,"[51.529, -0.1255]"
Burberry,Westminster,Clothing Store,Shopping,51.5103915,-0.1388527,"[51.4973, -0.1372]"
Berners Tavern,Westminster,English Restaurant,Eating out,51.51669906429344,-0.13627354492200539,"[51.4973, -0.1372]"
Tommy Hilfiger,Westminster,Clothing Store,Shopping,51.51136490921975,-0.1387683533729387,"[51.4973, -0.1372]"
Aperture,Westminster,Camera Store,Shopping,51.51779790431551,-0.13422693113750875,"[51.4973, -0.1372]"
The Parthenon Rooms,Camden,Exhibit,Entertainment,51.51897726604978,-0.12798391408901572,"[51.529, -0.1255]"
Store Street Espresso,Camden,Coffee Shop,Eating out,51.52023337903095,-0.1308240840465514,"[51.529, -0.1255]"
Vagabond,Westminster,Wine Bar,Going out,51.518695044334876,-0.13500284102714097,"[51.4973, -0.1372]"
The Photographers' Gallery,Westminster,Art Gallery,Entertainment,51.51506983562191,-0.1389692294992966,"[51.4973, -0.1372]"
Ahi Poké,Westminster,Poke Place,Eating out,51.518021,-0.133943,"[51.4973, -0.1372]"
Royal Academy of Arts,Westminster,Art Museum,Entertainment,51.50910852221246,-0.13947604747954753,"[51.4973, -0.1372]"
Fortnum & Mason,Westminster,Department Store,Shopping,51.508362908835586,-0.13866698492205912,"[51.4973, -0.1372]"
Kaffeine,Westminster,Coffee Shop,Eating out,51.51678531888532,-0.13707989959255354,"[51.4973, -0.1372]"
Sharps Coffee Bar,Westminster,Coffee Shop,Eating out,51.518808904913094,-0.1340059711003608,"[51.4973, -0.1372]"
The Ninth,Westminster,French Restaurant,Eating out,51.51873116074648,-0.13498989545919507,"[51.4973, -0.1372]"
Liberty of London,Westminster,Department Store,Shopping,51.51372497936781,-0.14050994852482712,"[51.4973, -0.1372]"
London Cocktail Club,Westminster,Cocktail Bar,Going out,51.51902168530762,-0.13664066138668704,"[51.4973, -0.1372]"
Ralph Lauren,Westminster,Clothing Store,Shopping,51.50980229456309,-0.1413938204885845,"[51.4973, -0.1372]"
Pied à Terre,Westminster,French Restaurant,Eating out,51.51904065775898,-0.13527137391028488,"[51.4973, -0.1372]"
Lush,Westminster,Cosmetics Shop,Shopping,51.515631934996996,-0.1386313083128742,"[51.4973, -0.1372]"
Muji,Westminster,Miscellaneous Shop,Shopping,51.515647807699914,-0.13907574329914146,"[51.4973, -0.1372]"
Little Social,Westminster,French Restaurant,Eating out,51.51352414150624,-0.1422119627642784,"[51.4973, -0.1372]"
Crosstown Doughnuts,Westminster,Donut Shop,Shopping,51.51694952820045,-0.13514531231639124,"[51.4973, -0.1372]"
Chanel,Westminster,Boutique,Shopping,51.51074732169219,-0.14288385446462465,"[51.4973, -0.1372]"
Dior,Westminster,Clothing Store,Shopping,51.51067583208067,-0.14268900146942398,"[51.4973, -0.1372]"
Prada,Westminster,Boutique,Shopping,51.50899826645793,-0.14095863219435442,"[51.4973, -0.1372]"
Pollen Street Social,Westminster,English Restaurant,Eating out,51.51342620568972,-0.1422079059902279,"[51.4973, -0.1372]"
The Oxford and Cambridge Club,Westminster,Lounge,Other,51.505743712011274,-0.13665478376563217,"[51.4973, -0.1372]"
Kiss The Hippo,Westminster,Coffee Shop,Eating out,51.516438,-0.14184393,"[51.4973, -0.1372]"
Homeslice,Westminster,Pizza Place,Eating out,51.51847684708113,-0.13999606534701844,"[51.4973, -0.1372]"
Roka,Westminster,Japanese Restaurant,Eating out,51.518991726911956,-0.13530794291545714,"[51.4973, -0.1372]"
Brown's Hotel,Westminster,Hotel,Other,51.50912665021098,-0.14207727877501275,"[51.4973, -0.1372]"
Honest Burgers,Westminster,Burger Joint,Eating out,51.51650152514323,-0.13990373374690535,"[51.4973, -0.1372]"
JOLT,Westminster,Coffee Shop,Eating out,51.516185764675825,-0.14046166652284045,"[51.4973, -0.1372]"
Patek Philippe,Westminster,Watch Shop,Shopping,51.510513413081874,-0.14258637764055337,"[51.4973, -0.1372]"
Halcyon Gallery,Westminster,Art Gallery,Entertainment,51.5114518951079,-0.1437357255886561,"[51.4973, -0.1372]"
Shake Shack Tottenham Court Road,Camden,Burger Joint,Eating out,51.51676370061302,-0.1279567346884598,"[51.529, -0.1255]"
Gymkhana,Westminster,Indian Restaurant,Eating out,51.508545278294704,-0.14142367023218483,"[51.4973, -0.1372]"
Dukes Bar,Westminster,Hotel Bar,Going out,51.5056320277967,-0.13948063229561597,"[51.4973, -0.1372]"
CHANEL Boutique,Westminster,Boutique,Shopping,51.510669930603584,-0.14311980335310182,"[51.4973, -0.1372]"
Russell Square,Camden,Plaza,Other,51.52177463018556,-0.1260657566622182,"[51.529, -0.1255]"
Sotheby's,Westminster,Art Gallery,Entertainment,51.51176412416014,-0.14384696362632585,"[51.4973, -0.1372]"
Regent Street Cinema,Westminster,Movie Theater,Entertainment,51.51685235133446,-0.1426574390316932,"[51.4973, -0.1372]"
The Ritz London,Westminster,Hotel,Other,51.50707816583323,-0.141627349121336,"[51.4973, -0.1372]"
THE ENGLISH Tea Room,Westminster,Tea Room,Eating out,51.50915493430172,-0.14202388547879866,"[51.4973, -0.1372]"
Quattro Passi,Westminster,Italian Restaurant,Eating out,51.50882687132074,-0.14269751374648143,"[51.4973, -0.1372]"
Novikov,Westminster,Asian Restaurant,Eating out,51.507767103762376,-0.14284957683152608,"[51.4973, -0.1372]"
Emporio Armani,Westminster,Clothing Store,Shopping,51.512634435938985,-0.1446030164484425,"[51.4973, -0.1372]"
Hakkasan,Westminster,Cantonese Restaurant,Eating out,51.510460043077856,-0.14474063642022095,"[51.4973, -0.1372]"
Leica Store,Westminster,Camera Store,Shopping,51.51091859543777,-0.14516769574260546,"[51.4973, -0.1372]"
M&S Simply Food,Westminster,Grocery Store,Shopping,51.50699826,-0.1429379,"[51.4973, -0.1372]"
La Petite Maison,Westminster,French Restaurant,Eating out,51.51260007693624,-0.14611300853997983,"[51.4973, -0.1372]"
Elemis Day-Spa,Westminster,Spa,Health and Sports,51.51262238100525,-0.1453084353644919,"[51.4973, -0.1372]"
JOE & THE JUICE,Westminster,Juice Bar,Going out,51.507827621675276,-0.14277935028076172,"[51.4973, -0.1372]"
Phillips,Westminster,Art Gallery,Entertainment,51.51038095586057,-0.14701724980743197,"[51.4973, -0.1372]"
Jo Malone,Westminster,Cosmetics Shop,Shopping,51.51519944112558,-0.14479843491669625,"[51.4973, -0.1372]"
Benares,Westminster,Indian Restaurant,Eating out,51.509667239923154,-0.14523434700718685,"[51.4973, -0.1372]"
Burger & Lobster,Westminster,Seafood Restaurant,Eating out,51.507117524710274,-0.14547680250792666,"[51.4973, -0.1372]"
Hedonism Wines,Westminster,Wine Shop,Shopping,51.5108031994149,-0.14745027754689535,"[51.4973, -0.1372]"
Green Park,Westminster,Park,Green spaces,51.50465559886703,-0.14378786087036133,"[51.4973, -0.1372]"
The Foyer & Reading Room,Westminster,Lounge,Other,51.512577493385585,-0.14766319231811606,"[51.4973, -0.1372]"
Claridge's,Westminster,Hotel,Other,51.51265560781236,-0.1478133521020519,"[51.4973, -0.1372]"
Little House,Westminster,Hotel,Other,51.50697107809939,-0.14692798986768432,"[51.4973, -0.1372]"
Berkeley Square,Westminster,Plaza,Other,51.509744084227556,-0.1458907127380371,"[51.4973, -0.1372]"
Loulou's,Westminster,Social Club,Entertainment,51.50633532642817,-0.1474951374875801,"[51.4973, -0.1372]"
The Coburg Bar,Westminster,Cocktail Bar,Going out,51.51028675220189,-0.14943160858176538,"[51.4973, -0.1372]"
Claridges's Bar,Westminster,Hotel Bar,Going out,51.51262451936389,-0.1480648844517418,"[51.4973, -0.1372]"
The Connaught,Westminster,Hotel,Other,51.51013776261254,-0.14949778943899691,"[51.4973, -0.1372]"
Mount Street Gardens,Westminster,Park,Green spaces,51.50914288375567,-0.15020345030932072,"[51.4973, -0.1372]"
Coya London,Westminster,Latin American Restaurant,Eating out,51.50430866903813,-0.14774130664594515,"[51.4973, -0.1372]"
Connaught Bar,Westminster,Hotel Bar,Going out,51.510042334629134,-0.14962763258152464,"[51.4973, -0.1372]"
Christian Louboutin,Westminster,Shoe Store,Shopping,51.50991437625638,-0.1505117089665867,"[51.4973, -0.1372]"
Four Seasons Hotel,Westminster,Hotel,Other,51.50452203516731,-0.1499783992767334,"[51.4973, -0.1372]"
Buckingham Palace,Westminster,Palace,Other,51.5009557396122,-0.14312267303466797,"[51.4973, -0.1372]"
Spa at Four Seasons Hotel,Westminster,Spa,Health and Sports,51.504411755003,-0.15012141113856853,"[51.4973, -0.1372]"
Buckingham Palace Garden,Westminster,Garden,Green spaces,51.500782092628455,-0.14548301696777344,"[51.4973, -0.1372]"
Balenciaga,Westminster,Boutique,Shopping,51.509975289634795,-0.15027746558189392,"[51.4973, -0.1372]"
Bremont Watch Company,Westminster,Jewelry Store,Shopping,51.50935,-0.1515,"[51.4973, -0.1372]"
Scott's,Westminster,Seafood Restaurant,Eating out,51.509916,-0.150836,"[51.4973, -0.1372]"
45 Park Lane,Westminster,Hotel,Other,51.50639,-0.15162,"[51.4973, -0.1372]"
The Dorchester,Westminster,Hotel,Other,51.5070223,-0.1522241,"[51.4973, -0.1372]"
Curzon Victoria,Westminster,Movie Theater,Entertainment,51.497472657293244,-0.13674352372372592,"[51.4973, -0.1372]"
Franco Manca,Westminster,Pizza Place,Eating out,51.5153661387979,-0.1364338513869081,"[51.4973, -0.1372]"
Vagabond,Westminster,Wine Bar,Going out,51.49754955939035,-0.14373068106537867,"[51.4973, -0.1372]"
Iris & June,Westminster,Coffee Shop,Eating out,51.496791,-0.136011,"[51.4973, -0.1372]"
Playboy Club London,Westminster,Cocktail Bar,Going out,51.5047760795806,-0.14966680960390055,"[51.4973, -0.1372]"
The English Rose Cafe And Tea Shop,Westminster,English Restaurant,Eating out,51.49814421938066,-0.14443666192968085,"[51.4973, -0.1372]"
Library Bar,Westminster,Cocktail Bar,Going out,51.50269456732321,-0.15242262457574102,"[51.4973, -0.1372]"
The Lanesborough,Westminster,Hotel,Other,51.50265494475375,-0.15261616449456278,"[51.4973, -0.1372]"
Buckingham Palace State Rooms,Westminster,Historic Site,Other,51.5003221503061,-0.14152404625784193,"[51.4973, -0.1372]"
The Other Palace,Westminster,Theater,Entertainment,51.49896748137003,-0.14224775454867583,"[51.4973, -0.1372]"
InterContinental London Park Lane,Westminster,Hotel,Other,51.5036475,-0.1502842,"[51.4973, -0.1372]"
Victoria Palace Theatre,Westminster,Theater,Entertainment,51.49684195968544,-0.14220603100411708,"[51.4973, -0.1372]"
Hamilton The Musical,Westminster,Theater,Entertainment,51.496550606702066,-0.14257782402355137,"[51.4973, -0.1372]"
The Nadler Victoria,Westminster,Hotel,Other,51.49898781187463,-0.1426808659097089,"[51.4973, -0.1372]"
Bleecker Burger,Westminster,Burger Joint,Eating out,51.49675430845137,-0.14467173971808855,"[51.4973, -0.1372]"
Flight Club Victoria,Westminster,Cocktail Bar,Going out,51.49744225891,-0.14274716945000337,"[51.4973, -0.1372]"
Nova,Westminster,Pedestrian Plaza,Other,51.497060603310175,-0.1439584395506626,"[51.4973, -0.1372]"
Victoria Tower Gardens,Westminster,Park,Green spaces,51.49672923934478,-0.12501576353172372,"[51.4973, -0.1372]"
Apollo Victoria Theatre,Westminster,Theater,Entertainment,51.495621753996815,-0.14268941294802595,"[51.4973, -0.1372]"
